pecha_id,batch,ann_id,raw_start,raw_end,start,end,action,dropped,reason
I0156A8B1,new,0cc10be5d8b14005af28bc629bfbdbf7,1110,1230,1110,1230,keep,False,
I0156A8B1,new,323948ab3f7540b084a891b9de06d4fb,2026,2260,2026,2260,keep,False,
I0156A8B1,new,8e93b5f4d86f43fe9e8b48f59c3df765,4907,5106,4907,5106,keep,False,
I0156A8B1,new,a1e2a74d79f34091b314c0f85d134936,18547,18571,18547,18571,keep,False,
I0156A8B1,new,af20a20f576e4b68ad3863b1bf361791,19666,19791,19666,19791,keep,False,
I0156A8B1,new,0262d627eb8541e38df53aa36be79e8d,20059,20122,20059,20122,keep,False,
I0156A8B1,new,935d91f515434639bb7f27a985392fb5,20766,20826,20766,20826,keep,False,
I0156A8B1,new,e6836478b42c4cabb15a29a78f2c3bf3,21845,21906,21845,21906,keep,False,
I0156A8B1,new,d4449cef2e4544d2867c79f4108320c9,22148,22216,22148,22216,keep,False,
I0156A8B1,new,647101ad719e436d9bcba88e230e3122,22591,22685,22591,22685,keep,False,
I0156A8B1,new,3bbf0d59dc4a4c7da32ebd439adb8def,24296,24396,24296,24396,keep,False,
I0156A8B1,new,4102447ca2fd488dad207b4209af55ad,25312,25336,25312,25336,keep,False,
I0156A8B1,new,9866421c9ac54df3aa9e4485e3e3ec5c,26108,26134,26108,26134,keep,False,
I0156A8B1,new,c391823ac2cf401983dd103f3ae6e705,26559,26604,26559,26604,keep,False,
I0156A8B1,new,187660136ed4426195558056a319273e,29086,29152,29086,29152,keep,False,
I0156A8B1,new,fd784bfecb6a489893f7e1d38a8d52a5,32978,32999,32978,32999,keep,False,
I0156A8B1,new,3387178ac03e463181c869888c71dd21,37354,37400,37354,37400,keep,False,
I0156A8B1,new,e2152e6fdafe4e4ab065cb99b3e88095,42545,42681,42545,42681,keep,False,
I0156A8B1,new,a561167bf85e4a0390fbeea24f773d68,44755,44764,44755,44764,keep,False,
I0156A8B1,new,baaac8a0e4fa4f52a46c60724390d25a,50817,50924,50817,50924,keep,False,
I0156A8B1,new,f663dc4f53904503a4379ae63cca62a2,54631,54640,54631,54640,keep,False,
I0156A8B1,new,6f6142e4e5c9472bbc14013fa2ff669b,60915,60967,60915,60967,keep,False,
I0156A8B1,new,03d558a918a24bbcb537db972690fd7c,61325,61334,61325,61334,keep,False,
I048844DB,new,f57c3f6feb144cac8cddd0568fd9f5f5,358,501,358,501,keep,False,
I048844DB,new,e5edbc8e42c74d9f836acca5d752bb0e,1254,1274,1254,1274,keep,False,
I048844DB,new,83a9e3e12e2348afa1913d8e9963c0b3,1439,1687,1439,1687,keep,False,
I048844DB,new,a88bd160d9aa47cea04c45445a08ff72,2564,2617,2564,2617,keep,False,
I048844DB,new,b59492ff459e4332ad8d8711ca4132f7,3231,3252,3231,3252,keep,False,
I048844DB,new,eaa2ade98a9c455fa151cf73be6293fb,3930,3949,3930,3949,keep,False,
I048844DB,new,b5693e6187b14ec4b6c9d1bcbe8ae5e3,4439,4501,4439,4501,keep,False,
I048844DB,new,0958cb1ca24342ea893cd2aceac0915b,5890,5919,5890,5919,keep,False,
I048844DB,new,64ed43bc84ec4d4a97bb9f598011bbc2,7177,7208,7177,7208,keep,False,
I048844DB,new,56a7857c43294a628824a1bb0520fe73,7759,7791,7759,7791,keep,False,
I048844DB,new,57ea6eef649149b488a544850f340ee2,8366,8407,8366,8407,keep,False,
I048844DB,new,b443259d5e5c4eb2aab330868a32cc28,9072,9123,9072,9123,keep,False,
I048844DB,new,5befac5a58354a1882d5576388cf2bd6,9694,9736,9694,9736,keep,False,
I048844DB,new,710e4f5d5efe464fa0f0f536724d205b,10901,11437,10901,11437,keep,False,
I048844DB,new,7479db09fb374739aa88d9bdc5dfaba2,12044,12078,12044,12078,keep,False,
I048844DB,new,acb479ec7cd44cdfa43b938b2268f155,12718,12753,12718,12753,keep,False,
I048844DB,new,cf55ad2dc2da430fae28c68981fc55f0,13351,13381,13351,13381,keep,False,
I048844DB,new,58086221eaef4407a35789f9c49d4372,14242,14517,14242,14517,keep,False,
I048844DB,new,2f79d1b751224be1bbcdfca38b65358e,14917,14941,14917,14941,keep,False,
I048844DB,new,27c8db2732fb45b8acce297db9891e14,15555,15606,15555,15606,keep,False,
I048844DB,new,faffe4967d324f4dad454433e3497b5e,16223,16261,16223,16261,keep,False,
I048844DB,new,f058b6ab6b764215a0c944bccea11da2,16728,16753,16728,16753,keep,False,
I048844DB,new,ecbf59d54a744c75bd4f3406bbcac18c,17154,17208,17154,17208,keep,False,
I048844DB,new,274455bc059842abbc42a22c7c0b0549,17588,17626,17588,17626,keep,False,
I048844DB,new,790e28c0fd3345bcb0b41292a726d75b,18055,18098,18055,18098,keep,False,
I048844DB,new,d8ed7cd015884581899dcc021e2a14a1,18884,18932,18884,18932,keep,False,
I048844DB,new,86a3ab4e18c44bc88d807bfd65beddde,19540,19574,19540,19574,keep,False,
I048844DB,new,c460598a68474ea9b0f754595f9f85a3,20538,20585,20538,20585,keep,False,
I048844DB,new,a3bee86f8fe04771bf77ef00555f79cb,21086,21146,21086,21146,keep,False,
I048844DB,new,4247b00ba0184d6eadd03a8e68342eeb,21754,21800,21754,21800,keep,False,
I048844DB,new,b2fae4c48a5c4ed3917bac07bf9f24c5,22492,22534,22492,22534,keep,False,
I048844DB,new,7eb4cbec16ce45318b6f62c08404065a,23131,23169,23131,23169,keep,False,
I048844DB,new,e17146a0d4194bba834fd33ba9d73528,24010,24315,24010,24315,keep,False,
I048844DB,new,73648161fe8841bba056e0206e75b141,25503,25541,25503,25541,keep,False,
I048844DB,new,5a85ea4d565d4c6db9519b7e4fffb2d1,26275,26312,26275,26312,keep,False,
I048844DB,new,6ccebe9df2214c38bd3df11173c5ac1e,27056,27082,27056,27082,keep,False,
I048844DB,new,bb619f34e75847079d6f4453082ef3de,27792,27833,27792,27833,keep,False,
I048844DB,new,1806a4b4dde1489dabd34c20d6c38db0,28137,28172,28137,28172,keep,False,
I048844DB,new,2dd8c34e69554081abb0f3f9304123e7,28632,28664,28632,28664,keep,False,
I048844DB,new,55c120f3e6484093b32810a3f8dddedd,29232,29286,29232,29286,keep,False,
I048844DB,new,6552941b311b49858b08e41b12db0cc8,29968,29996,29968,29996,keep,False,
I048844DB,new,4f763218e5da4efa8b20028352386274,31348,31386,31348,31386,keep,False,
I048844DB,new,d718c6bfa1dd4fc08990e156d9cf42d3,32439,32468,32439,32468,keep,False,
I048844DB,new,09cef49a28ce461a91f60263d13ac6ac,33793,33912,33793,33912,keep,False,
I048844DB,new,b2583a1154304705a939f34c2f5d3890,34424,34468,34424,34468,keep,False,
I048844DB,new,98363cda82b640478c3cd15349f41985,36537,36593,36537,36593,keep,False,
I048844DB,new,378bd19daa99489aaeae735d09e458eb,37237,37269,37237,37269,keep,False,
I048844DB,new,6c495e03c9a54b3da277a5c39d647270,37911,38071,37911,38071,keep,False,
I048844DB,new,30e8f807d05340d9a5fed409426cfd10,39255,39278,39255,39278,keep,False,
I048844DB,new,0928579b2ad84ccc8348588f546aac97,42743,42763,42743,42763,keep,False,
I048844DB,new,1527069f43764ce286d6c4fb227de768,43394,43682,43394,43682,keep,False,
I048844DB,new,ff3b8cc657fc4039a49c727c28f13a2d,44305,44341,44305,44341,keep,False,
I048844DB,new,041a6856ed624e3b863559bf7425b5df,45003,45055,45003,45055,keep,False,
I048844DB,new,4ecda99393c64672ad0f9d22014b25ab,46399,46452,46399,46452,keep,False,
I048844DB,new,c1492a49eb2c4c99aaf26e924d836902,47059,47115,47059,47115,keep,False,
I048844DB,new,57d86f33db2b490c89ac016c0b897b8f,47684,47891,47684,47891,keep,False,
I048844DB,new,47330dbb13c441f795d928200caf059c,48975,49023,48975,49023,keep,False,
I048844DB,new,821d3ec26602457184b7d563f84b6d95,49714,49756,49714,49756,keep,False,
I069801F1,new,2b4eec97b18c45859c917593e869d677,41735,41791,41735,41791,keep,False,
I069801F1,new,44f28cdbc0fd472bb1cd4e8faa3aaeb7,41793,41914,41793,41914,keep,False,
I069801F1,new,76e78647ca584207b01e62f1c461346b,51449,51496,51449,51496,keep,False,
I07240379,new,a420c8c1294b4a93a105ba2cd800ae12,875,892,875,892,keep,False,
I07240379,new,cd38489629164585b7334619313b60f7,894,958,894,958,keep,False,
I07240379,new,27dbad04266742f7a4a1bdbb6b0c0398,960,973,960,973,keep,False,
I07240379,new,e70cd38248f14495a88fc5fb0b2096c6,975,987,975,987,keep,False,
I07240379,new,6002a59b9087496f83393504c3222d6f,989,1002,989,1002,keep,False,
I07240379,new,5c537ba81c0347178c268c9340983059,1004,1073,1004,1073,keep,False,
I07240379,new,1bc24f81b04548b3b0c310a286d01689,1075,1088,1075,1088,keep,False,
