# sabche layer-detection document split v2 — FROZEN
# generated: 2026-09-22
# generator: src/prepare_sabche_split.py
# seed: 123
# base: split_v3_frozen.csv assignments kept; conflicting groups -> test>val>train
# must-link: split_v3 group_id UNION sabche verbatim share >= 0.1 over >= 2 spans, or >= 10 shared spans (>= 40 chars)
# targets for new groups: 83%/8.5%/8.5% by WINDOW count (8192 / 5120)
# span source: data/processed/sabche_spans_clean.csv (dropped=False)
# TEST SPLIT IS FROZEN: evaluate test once at the end, never for tuning.
pecha_id,split,group_id,n_tokens,n_windows
I0156A8B1,train,I0156A8B1,41407,8
I048844DB,train,I048844DB,32995,6
I069801F1,train,I069801F1,36612,7
I07240379,test,I07240379,94693,18
I07ECF0AE,train,I07ECF0AE,66765,13
I08405360,train,I08405360,225402,44
I0B81CD66,train,I048844DB,229491,45
I0FCFA88F,test,I0FCFA88F,162071,32
I10C4C4B5,train,I10C4C4B5,133276,26
I130B5D0F,train,I130B5D0F,54018,10
I163178A0,train,I163178A0,4849,1
I1637B774,train,I1637B774,18033,3
I19A08A51,val,I19A08A51,10060,2
I1DCBD5CC,val,I1DCBD5CC,100175,19
I2133CA39,train,I048844DB,200789,39
I23323023,train,I23323023,56078,11
I2342D649,train,I2342D649,302397,59
I24EDBDA0,train,I24EDBDA0,376676,73
I25463E37,train,I25463E37,107587,21
I2618C5EC,train,I2618C5EC,58973,11
I27E347E9,train,I27E347E9,269527,53
I29CFF9F3,train,I10C4C4B5,181255,35
I29E8AA65,train,I29E8AA65,175317,34
I2B02A144,train,I24EDBDA0,376783,73
I2D0F4FAF,train,I2D0F4FAF,20220,4
I2D96E5C8,train,I2D96E5C8,378820,74
I2E52374B,train,I2E52374B,65689,13
I2EAAF38A,val,I2EAAF38A,87817,17
I2FCD4B1D,val,I2FCD4B1D,443647,87
I319DAFF7,test,I319DAFF7,4494,1
I31F3338B,train,I31F3338B,8445,2
I32431963,train,I048844DB,13926,3
I330D366C,train,I330D366C,85088,17
I33763376,train,I33763376,74460,14
I36A7A668,test,I36A7A668,240252,47
I3B871A64,train,I3B871A64,17348,3
I3F4A91F5,test,I36A7A668,220745,43
I40E5024E,train,I048844DB,128761,25
I4232A561,train,I4232A561,17187,3
I45222122,train,I45222122,190038,37
I4A6AC1AA,train,I4A6AC1AA,18685,4
I4ABDA91A,train,I4ABDA91A,333735,65
I4B1806B4,val,I4B1806B4,135537,26
I4BECA32D,train,I4BECA32D,187928,37
I4CAE7B8B,train,I048844DB,173920,34
I4E0DAA7C,val,I4E0DAA7C,130224,25
I4EE8C636,train,I4EE8C636,268519,52
I4FABF1F8,train,I4FABF1F8,164303,32
I4FD99A33,val,I2EAAF38A,198022,39
I4FDF07E7,val,I4FDF07E7,7204,1
I5048861E,train,I5048861E,18038,3
I5134B437,train,I5134B437,224218,44
I518A01A8,val,I518A01A8,195905,38
I51B9FE5F,train,I51B9FE5F,172212,34
I52248444,test,I07240379,158829,31
I54375004,train,I54375004,73880,14
I55D7A55C,train,I55D7A55C,20609,4
I575514A8,test,I36A7A668,37179,7
I577D1677,val,I577D1677,25036,5
I57BB7B28,train,I57BB7B28,383100,75
I587B7DED,train,I587B7DED,14978,3
I5AEEE5CA,train,I5AEEE5CA,325045,63
I5BFCBB3F,train,I5BFCBB3F,11849,2
I5F5D9F5A,train,I5F5D9F5A,105407,20
I60D0ED54,val,I60D0ED54,13724,3
I617FDD1E,train,I617FDD1E,2122,1
I6193773E,train,I048844DB,25300,5
I61AB8DA8,val,I61AB8DA8,162636,32
I62D7430C,train,I048844DB,19336,4
I6380CEC4,val,I6380CEC4,277206,54
I64B5DDDD,train,I64B5DDDD,107536,21
I6A834445,train,I6A834445,38550,7
I6F43CD1F,train,I6F43CD1F,9762,2
I74772DFF,train,I74772DFF,136157,26
I786395B4,train,I786395B4,43279,8
I78C84F85,train,I78C84F85,56589,11
I7D476A8B,test,I36A7A668,171085,33
I8006C360,train,I8006C360,42617,8
I849C345E,train,I849C345E,158968,31
I85485484,train,I85485484,4128,1
I85C28EDA,train,I85C28EDA,114012,22
I8698A1DF,val,I4B1806B4,63970,12
I881A57E8,train,I881A57E8,81761,16
I88977D82,train,I88977D82,164883,32
I88CF073C,train,I88CF073C,136142,26
I88DA3111,val,I88DA3111,6837,1
I895C519A,val,I895C519A,13611,3
I8961718B,train,I8961718B,190527,37
I8994AAB2,train,I048844DB,216474,42
I8A57AE06,train,I8A57AE06,6610,1
I8B49E87B,val,I2EAAF38A,212427,41
I8D6D2565,train,I048844DB,34711,7
I8E747E8E,val,I8E747E8E,52058,10
I8EC6D8E9,train,I8EC6D8E9,25780,5
I91949F99,train,I048844DB,172504,34
I920AA7AC,train,I920AA7AC,220268,43
I9434034F,train,I9434034F,28747,6
I9658BC87,train,I9658BC87,374655,73
I9779E60E,val,I9779E60E,37742,7
I97B90DC0,train,I97B90DC0,205399,40
I9811592F,val,I2EAAF38A,76944,15
I98D03292,train,I048844DB,274659,54
I99DF06AA,train,I99DF06AA,306629,60
I99F347E4,train,I99F347E4,8455,2
I9AEEF96A,test,I319DAFF7,7921,1
I9B6A4525,test,I9B6A4525,161012,31
I9CB71958,train,I9CB71958,21749,4
I9D810AA7,train,I9D810AA7,12605,2
I9D9C7AC9,test,I319DAFF7,9984,2
I9E666AF8,train,I9E666AF8,12823,2
I9FF2B59B,train,I9FF2B59B,101971,20
IA2F1ACFA,train,I57BB7B28,191724,37
IA3DD1ADA,train,IA3DD1ADA,8909,2
IA473D353,val,I2EAAF38A,71219,14
IA736981A,train,IA736981A,38897,7
IAA85B9B5,train,IAA85B9B5,7396,1
IAAADCAA0,train,IAAADCAA0,57801,11
IAB948889,train,IAB948889,57903,11
IAE1E11E5,val,IAE1E11E5,99557,19
IB047F8C7,train,I048844DB,179571,35
IB2BA1922,train,I08405360,510395,100
IB45DE768,train,IB45DE768,5172,1
IB47565DE,train,IB47565DE,181723,35
IB4B89F9C,train,IB4B89F9C,279983,55
IB522F095,train,I9CB71958,191591,37
IB5F523B2,val,IB5F523B2,3199,1
IB8D599AA,train,IB8D599AA,252412,49
IB8EEB9FB,train,IB8EEB9FB,219765,43
IB9CA8898,train,IB9CA8898,21682,4
IBB199AAB,train,I88977D82,49784,10
IBB812389,train,IBB812389,36236,7
IBBB26EA1,train,IBBB26EA1,12653,2
IBC775AF6,train,IBC775AF6,199760,39
IBD1386A4,train,IBD1386A4,126587,25
IBF8C5BB6,train,IBF8C5BB6,172493,34
IBFACCCDF,train,IBFACCCDF,94503,18
IC05A6BE0,test,I9B6A4525,84642,16
IC555D0EB,train,IC555D0EB,199553,39
IC5CE7FE9,train,I048844DB,226548,44
IC6F06BCD,test,I07240379,187136,36
IC7A5FC73,train,IC7A5FC73,235073,46
IC87920B7,train,I048844DB,134031,26
IC99C24DC,train,IC99C24DC,2123,1
ICC9840B6,train,ICC9840B6,406465,79
ICD7F2351,train,ICD7F2351,21356,4
ICDC84458,test,I07240379,445287,87
ID13E3867,train,ID13E3867,324132,63
ID4AD2D0E,train,ID4AD2D0E,6076,1
ID5714205,train,I10C4C4B5,303943,59
ID8FE83E3,train,ID8FE83E3,474702,93
IDA8C4CE5,train,IDA8C4CE5,38279,7
IDAB254F1,train,IDAB254F1,122926,24
IDACD7FC0,train,IDACD7FC0,8207,2
IDAD44BA2,train,IDAD44BA2,13183,2
IDB6093E9,test,I07240379,263731,51
IDBFF9DE3,train,IDBFF9DE3,264831,52
IDDA7F69E,train,IDDA7F69E,357149,70
IDDB46142,train,IDDB46142,2866,1
IE0AB7438,train,IE0AB7438,199710,39
IE166DA22,train,IE166DA22,14811,3
IE1B4BBB9,train,IE1B4BBB9,62947,12
IE2421BEA,train,IE2421BEA,383912,75
IE5895799,test,I07240379,168982,33
IE79CC998,train,IE79CC998,12284,2
IE8EB4CB4,train,IE8EB4CB4,33876,7
IE9C4806D,train,IE9C4806D,11077,2
IEA9B747E,train,IEA9B747E,339797,66
IEAAE08E1,train,IEAAE08E1,4803,1
IEB5D4BEB,train,IEB5D4BEB,190496,37
IEE67309C,train,IEE67309C,150690,29
IEEB908B0,train,I048844DB,39913,8
IEEBAD11E,train,IEEBAD11E,2393,1
IEEC9CCA9,train,IEEC9CCA9,5894,1
IEF3A4022,train,IEF3A4022,264528,52
IEFE24A29,train,IEFE24A29,8489,2
IF30A1358,train,IF30A1358,40142,8
IF3ACC3E1,test,IF3ACC3E1,23149,4
IF428CDDB,train,I048844DB,275278,54
IF4C4BF01,train,IF4C4BF01,256485,50
IF69FF8A7,train,IF69FF8A7,47382,9
IF6B54962,train,IF6B54962,6896,1
IF7A04537,train,IF7A04537,154131,30
IF84B2E71,train,IF84B2E71,86512,17
IF85C9484,train,IF4C4BF01,280080,55
IFA88A536,test,I07240379,119171,23
IFC5AD8FD,train,IFC5AD8FD,101862,20
IFE0B60AA,train,I9CB71958,24465,5
IFF541F44,train,IFF541F44,138977,27
IFFA911F5,train,IFFA911F5,106443,21
P000012,train,P000012,176714,34
P000013,test,I0FCFA88F,98741,19
P000015,train,P000015,76542,15
P000020,train,P000020,191551,37
P000021,train,P000021,178520,35
P000022,train,P000022,250944,49
P000024,train,P000024,223194,43
P000025,train,P000025,218272,43
P000026,train,I048844DB,24934,5
P000027,test,P000027,48648,9
P000028,val,I2EAAF38A,360259,70
P000029,train,P000029,188197,37
P000030,train,P000030,514018,100
P000034,train,P000034,552608,108
P000036,train,P000036,346398,68
P000037,test,I0FCFA88F,617690,121
P000042,train,P000042,122672,24
P000044,train,IEF3A4022,145215,28
P000046,train,IEF3A4022,164703,32
P000048,train,P000048,374938,73
P000051,train,I2D96E5C8,371495,72
P000054,train,P000030,458947,90
P000055,train,P000055,203291,40
P000063,train,P000063,118187,23
P000066,train,P000066,31009,6
P000067,test,I36A7A668,333780,65
P000068,train,I2D96E5C8,371292,72
P000070,train,P000070,246195,48
P000071,val,I2EAAF38A,158043,31
P000073,val,P000073,370448,72
P000074,train,P000074,432871,84
P000075,train,P000075,49073,9
P000078,train,I048844DB,566612,111
P000080,train,P000080,245232,48
P000081,train,P000081,307963,60
P000083,test,P000083,212362,41
P000084,val,I2EAAF38A,100158,19
P000085,train,P000085,493002,96
P000087,train,P000087,473348,92
P000089,train,P000089,414980,81
P000090,train,P000090,167877,33
P000094,train,I048844DB,128246,25
P000096,train,I048844DB,38413,7
P000098,train,P000098,414648,81
P000099,train,P000099,155747,30
P000100,train,I54375004,73878,14
P000101,train,P000101,453276,88
P000102,train,I29E8AA65,15960,3
P000103,train,IB8EEB9FB,91201,18
P000111,train,I4EE8C636,275686,54
P000112,train,P000112,249179,49
P000114,train,P000114,133962,26
P000115,train,I5AEEE5CA,468519,91
P000118,test,P000118,53068,10
P000119,train,P000119,398652,78
P000122,train,P000122,52320,10
P000123,train,P000123,268396,52
P000127,train,P000127,142392,28
P000128,train,P000128,77899,15
P000129,train,P000129,324983,63
P000132,train,P000132,104326,20
P000134,train,P000134,17580,3
P000135,train,P000135,46012,9
P000136,train,P000136,36420,7
P000140,train,P000140,432453,84
P000141,train,P000141,57911,11
P000144,test,P000027,162925,32
P000145,train,I048844DB,167352,33
P000151,train,P000070,339722,66
P000152,train,P000152,654948,128
P000153,train,P000153,110358,21
P000155,train,P000155,106513,21
P000157,train,P000157,287342,56
P000159,train,P000159,417617,81
P000160,train,P000160,634023,124
P000161,val,IAE1E11E5,354319,69
P000162,train,I048844DB,126505,25
P000164,test,P000083,309048,60
P000167,train,P000030,6782,1
P000168,train,P000168,90828,18
P000169,train,P000169,474756,93
P000170,train,P000170,137553,27
P000171,train,P000171,639458,125
P000172,train,P000172,48764,9
P000173,train,P000173,75988,15
P000175,val,IAE1E11E5,239377,47
P000177,train,P000015,190265,37
P000179,train,P000179,228662,45
P000180,train,P000180,200474,39
P000183,train,P000183,388092,76
P000185,train,I881A57E8,97202,19
P000186,train,P000186,210315,41
P000187,train,P000187,9992,2
P000188,train,P000188,146603,29
P000189,train,P000189,16100,3
P000193,train,P000193,115496,22
P000194,train,I9E666AF8,12914,2
P000195,train,P000195,197168,38
P000197,train,P000197,141580,28
P000198,train,P000198,433904,85
P000199,train,P000179,455707,89
P000200,val,I2EAAF38A,81984,16
P000201,train,P000201,12650,2
P000203,train,P000203,118017,23
P000207,train,P000021,185160,36
P000211,train,P000211,132644,26
P000213,train,P000213,101696,20
P000215,val,P000215,109609,21
