# tsawa layer-detection document split v3 — FROZEN
# generated: 2026-09-21
# generator: scratch/resplit_v3_761212.py (greedy multi-objective)
# seed: 123
# targets: 76/12/12 by WINDOW count (8192 / 5120)
# stratified on: batch, n_windows, tsawa density, pct_short
# rule 1: drop pechas with < 10 merged tsawa spans (all splits)
# rule 2: must-link groups unchanged from v6_root_groups.json
# TEST SPLIT IS FROZEN: documents in it must not change between experiments; evaluate test once at the end, never for tuning or model selection.
# span source: data/processed/tsawa_spans_merged.csv
pecha_id,split,group_id
I058DD999,train,I058DD999
I0FCFA88F,test,I0FCFA88F
I100E7DAD,train,I100E7DAD
I1637B774,train,I1637B774
I19A08A51,val,I19A08A51
I2133CA39,train,I98D03292
I23323023,train,I23323023
I25463E37,train,I25463E37
I27E347E9,train,I27E347E9
I2D96E5C8,train,I2D96E5C8
I2EAAF38A,val,I4FD99A33
I319DAFF7,test,I319DAFF7
I36A7A668,train,I36A7A668
I3F4A91F5,test,I575514A8
I40E5024E,train,I98D03292
I454D2699,val,I454D2699
I4B1806B4,val,I4B1806B4
I4CAE7B8B,train,I98D03292
I4FABF1F8,train,I4FABF1F8
I4FD99A33,val,I4FD99A33
I4FDF07E7,val,I4FDF07E7
I5134B437,train,I5134B437
I575514A8,test,I575514A8
I587B7DED,train,I587B7DED
I617FDD1E,train,I617FDD1E
I6D11E414,train,I6D11E414
I7D476A8B,train,I36A7A668
I8698A1DF,val,I4B1806B4
I881A57E8,train,I881A57E8
I88977D82,train,I88977D82
I895C519A,val,I895C519A
I8994AAB2,train,I98D03292
I8B49E87B,val,I4FD99A33
I920AA7AC,train,I920AA7AC
I9779A606,train,I9779A606
I9811592F,val,I4FD99A33
I98D03292,train,I98D03292
I9AEEF96A,test,I319DAFF7
I9B6A4525,test,I9B6A4525
I9CB71958,train,I9CB71958
I9D9C7AC9,test,I319DAFF7
I9FF2B59B,train,I9FF2B59B
IA2F1ACFA,train,IA2F1ACFA
IA473D353,val,I4FD99A33
IAE1E11E5,train,IAE1E11E5
IB047F8C7,train,I98D03292
IB522F095,train,I9CB71958
IB8D599AA,train,IB8D599AA
IB8F4E5BE,train,I98D03292
IBC775AF6,train,I100E7DAD
IBFACCCDF,train,IBFACCCDF
IC05A6BE0,test,I9B6A4525
IC5CE7FE9,train,I98D03292
IC6F06BCD,test,IC6F06BCD
IC87920B7,train,I98D03292
ICDC84458,test,IC6F06BCD
ID4AD2D0E,train,ID4AD2D0E
IDAD44BA2,train,IDAD44BA2
IDDA7F69E,train,IDDA7F69E
IE5895799,test,IC6F06BCD
IEE67309C,train,IEE67309C
IEF3A4022,train,IEF3A4022
IF3ACC3E1,test,IF3ACC3E1
IF428CDDB,train,I98D03292
IF7A04537,train,IF7A04537
IF84B2E71,train,IF84B2E71
IFE0B60AA,train,I9CB71958
IFF541F44,train,IFF541F44
P000013,test,I0FCFA88F
P000020,train,P000020
P000021,train,P000021
P000022,train,P000022
P000026,train,I98D03292
P000027,test,P000027
P000028,val,I4FD99A33
P000044,train,IEF3A4022
P000046,train,IEF3A4022
P000055,train,P000055
P000056,test,P000056
P000067,test,I575514A8
P000068,train,I2D96E5C8
P000070,train,P000070
P000071,val,I4FD99A33
P000074,train,P000074
P000078,train,I98D03292
P000081,train,P000081
P000083,test,P000083
P000084,val,I4FD99A33
P000094,train,I98D03292
P000117,train,IFF541F44
P000118,test,P000118
P000123,train,P000123
P000127,train,P000127
P000128,train,P000128
P000129,train,P000129
P000132,train,P000132
P000141,train,P000141
P000144,test,P000027
P000145,train,I98D03292
P000151,train,P000070
P000153,train,P000153
P000161,val,P000161
P000162,train,I98D03292
P000164,test,P000083
P000175,val,P000161
P000179,train,P000179
P000185,train,I881A57E8
P000193,train,P000193
P000195,train,P000195
P000199,train,P000179
P000203,train,P000203
P000207,train,P000021
P000213,train,P000213
P000215,val,P000215
P000218,train,I98D03292
P000219,train,P000219
P000224,train,P000224
P000225,train,P000225
P000237,val,P000237
P000241,train,P000241
P000242,test,P000083
P000246,train,P000246
P000259,train,P000246
P000269,test,P000269
